,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
82,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200679
83,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200679
84,1199,Tom Washington,T. Washington,Tom,Washington,49  ,,22200680
85,2003,Pat Fraher,P. Fraher,Pat,Fraher,26  ,,22200680
86,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200680
87,2715,Eric Lewis,E. Lewis,Eric,Lewis,42  ,,22200681
88,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200681
89,1626301,Jason Goldenberg,J. Goldenberg,Jason,Goldenberg,35  ,,22200681
90,1162,Scott Foster,S. Foster,Scott,Foster,48  ,,22200670
91,1201,Leon Wood,L. Wood,Leon,Wood,40  ,,22200670
92,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64  ,,22200670
93,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200671
94,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200671
95,203054,Cheryl Flores,C. Flores,Cheryl,Flores,91  ,,22200671
96,200832,Curtis Blair,C. Blair,Curtis,Blair,74  ,,22200672
97,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200672
98,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28  ,,22200672
99,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200676
100,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61  ,,22200676
101,202901,Matt Myers,M. Myers,Matt,Myers,43  ,,22200676
102,2715,Eric Lewis,E. Lewis,Eric,Lewis,42  ,,22200677
103,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7   ,,22200677
104,1628171,Brandon Schwab,B. Schwab,Brandon,Schwab,86  ,,22200677
105,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200659
106,1162,Scott Foster,S. Foster,Scott,Foster,48  ,,22200659
107,203054,Cheryl Flores,C. Flores,Cheryl,Flores,91  ,,22200659
108,2002,Derrick Collins,D. Collins,Derrick,Collins,11  ,,22200662
109,200832,Curtis Blair,C. Blair,Curtis,Blair,74  ,,22200662
110,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200662
111,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200664
112,1198,Scott Wall,S. Wall,Scott,Wall,31  ,,22200664
113,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29  ,,22200664
114,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200653
115,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200653
116,1627526,Matt Kallio,M. Kallio,Matt,Kallio,88  ,,22200653
117,101284,John Goble,J. Goble,John,Goble,10  ,,22200655
118,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200655
119,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70  ,,22200655
120,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200646
121,202026,Karl Lane,K. Lane,Karl,Lane,77  ,,22200646
122,202056,CJ Washington,C. Washington,CJ,Washington,12  ,,22200646
123,2003,Pat Fraher,P. Fraher,Pat,Fraher,26  ,,22200633
124,1626301,Jason Goldenberg,J. Goldenberg,Jason,Goldenberg,35  ,,22200633
125,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13  ,,22200633
126,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61  ,,22200634
127,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200634
128,1628171,Brandon Schwab,B. Schwab,Brandon,Schwab,86  ,,22200634
129,1193,Michael Smith,M. Smith,Michael,Smith,38  ,,22200638
130,1830,Marc Davis,M. Davis,Marc,Davis,8   ,,22200638
131,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89  ,,22200638
132,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200630
133,202027,Tre Maddox,T. Maddox,Tre,Maddox,23  ,,22200630
134,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82  ,,22200630
135,1162,Scott Foster,S. Foster,Scott,Foster,48  ,,22200631
136,202026,Karl Lane,K. Lane,Karl,Lane,77  ,,22200631
137,202901,Matt Myers,M. Myers,Matt,Myers,43  ,,22200631
138,1179,Rodney Mott,R. Mott,Rodney,Mott,71  ,,22200619
139,2005,Matt Boland,M. Boland,Matt,Boland,18  ,,22200619
